Component Name,Location,Status,Category,Dependencies,Electron/IPC,Notes
ProposalSettings.tsx,Settings/,ready,settings,@lama/ui,no,Ready to move
MCPSettings.tsx,Settings/,ready,settings,useModel(),no,Ready to move
StorageQuota.tsx,Settings/,ready,settings,@lama/ui,no,Ready to move
DataCleanup.tsx,Settings/,ready,settings,@lama/ui,no,Ready to move
AttachmentViewFactory.tsx,attachments/,ready,attachment,@lama/ui,no,Factory pattern
ImageAttachmentView.tsx,attachments/,ready,attachment,@lama/ui,no,Image viewer
VideoAttachmentView.tsx,attachments/,ready,attachment,@lama/ui,no,Video player
AudioAttachmentView.tsx,attachments/,ready,attachment,@lama/ui,no,Audio player
DocumentAttachmentView.tsx,attachments/,ready,attachment,@lama/ui,no,Document viewer
UnknownAttachmentView.tsx,attachments/,ready,attachment,@lama/ui,no,Fallback viewer
AuditPanel.tsx,audit/,refactor,audit,window.electronAPI,yes,Needs useAudit()
AttestationStatus.tsx,audit/,ready,audit,@lama/ui,no,Status display
AuditorBadge.tsx,audit/,ready,audit,@lama/ui,no,Badge display
QRCodeDisplay.tsx,audit/,ready,audit,@lama/ui,no,QR code render
HorizontalTreeView.tsx,ui/,ready,ui,@lama/ui,no,Tree view primitive
